id,nome,empresa,arquetipo,status,url,tag,commit_sha,data_commit,branch_principal,snapshot_type,subconjunto
apache-skywalking-15,skywalking,Apache,apache,ativo,https://github.com/apache/skywalking,HEAD-on-master-2026-05-24,40d95a179b0af6fab342316bce905f28918dd4ee,2026-05-24,master,head-of-main,n30-v1.6
apache-rocketmq-16,rocketmq,Apache,apache,ativo,https://github.com/apache/rocketmq,HEAD-on-develop-2026-05-24,1251c9af3ef7942178b70c8aad9b04d46cddbb39,2026-05-23,develop,head-of-main,n30-v1.6
apache-shardingsphere-17,shardingsphere,Apache,apache,ativo,https://github.com/apache/shardingsphere,HEAD-on-master-2026-05-24,cc3ab1348109451d73f978f4a4402d91205a974e,2026-05-24,master,head-of-main,n30-v1.6
apache-dolphinscheduler-20,dolphinscheduler,Apache,apache,ativo,https://github.com/apache/dolphinscheduler,HEAD-on-dev-2026-05-24,2cb705aef9b1d5c94f9618d2ebe97f2ca59014e5,2026-05-24,dev,head-of-main,n30-v1.6
apache-druid-21,druid,Apache,apache,ativo,https://github.com/apache/druid,HEAD-on-master-2026-05-24,06ef24c1e09a8000c91dd0767e09278b34066252,2026-05-23,master,head-of-main,n30-v1.6
apache-jmeter-22,jmeter,Apache,apache,ativo,https://github.com/apache/jmeter,HEAD-on-master-2026-05-24,170647bdeadfec6a903b7ac653a5bd4480989d9d,2026-04-08,master,head-of-main,n30-v1.6
apache-seatunnel-23,seatunnel,Apache,apache,ativo,https://github.com/apache/seatunnel,HEAD-on-dev-2026-05-24,1651f9f8c95fc78e6f70063914507ffb64a7cad1,2026-05-24,dev,head-of-main,n30-v1.6
apache-iceberg-24,iceberg,Apache,apache,ativo,https://github.com/apache/iceberg,HEAD-on-main-2026-05-24,75fcb8d9e3378237a6b73b1b20d507641c37a392,2026-05-24,main,head-of-main,n30-v1.6
google-bazel-12,bazel,Google,google,ativo,https://github.com/bazelbuild/bazel,HEAD-on-master-2026-05-24,fdba6e6bda1ff9423b111eb099f4f9f6e0d34115,2026-05-22,master,head-of-main,n30-v1.6
google-guice-13,guice,Google,google,ativo,https://github.com/google/guice,HEAD-on-master-2026-05-24,55a2b68ebe445b8dca3795bd3cdfc5c09d566e74,2026-04-23,master,head-of-main,n30-v1.6
google-tsunami-14,tsunami-security-scanner,Google,google,ativo,https://github.com/google/tsunami-security-scanner,HEAD-on-master-2026-05-24,f29c42aa5bc0c865d5aa15cb55c7c11072af641c,2026-04-16,master,head-of-main,n30-v1.6
google-google-java-format-15,google-java-format,Google,google,ativo,https://github.com/google/google-java-format,HEAD-on-master-2026-05-24,d964ff11e78d191c6d99c27115f61bd75ef5267d,2026-05-19,master,head-of-main,n30-v1.6
google-copybara-19,copybara,Google,google,ativo,https://github.com/google/copybara,HEAD-on-master-2026-05-24,5a896d46c87151828ff726bb28ba1d54b7cf3bd2,2026-05-21,master,head-of-main,n30-v1.6
google-jimfs-20,jimfs,Google,google,ativo,https://github.com/google/jimfs,HEAD-on-master-2026-05-24,31618bf10cddeee7a3e5c2a75ead32e045724876,2026-05-08,master,head-of-main,n30-v1.6
netflix-hystrix-07,Hystrix,Netflix,descentralizado,ativo,https://github.com/Netflix/Hystrix,HEAD-on-master-2026-05-24,5ce3bc58c38e7ca60ef2fe0e516e390e294ad941,2025-12-16,master,head-of-main,n30-v1.6
netflix-zuul-08,zuul,Netflix,descentralizado,ativo,https://github.com/Netflix/zuul,HEAD-on-master-2026-05-24,05d52953a66a922ab573e35093e8457488949f60,2026-05-20,master,head-of-main,n30-v1.6
netflix-ribbon-09,ribbon,Netflix,descentralizado,ativo,https://github.com/Netflix/ribbon,HEAD-on-master-2026-05-24,2a55b5da9749cd416350193b0ea739d7cd6b2a2e,2025-12-16,master,head-of-main,n30-v1.6
netflix-archaius-11,archaius,Netflix,descentralizado,ativo,https://github.com/Netflix/archaius,HEAD-on-2.x-2026-05-24,8629b765ca44fa8cf6b229b050621126df26d04f,2025-12-16,2.x,head-of-main,n30-v1.6
netflix-genie-12,genie,Netflix,descentralizado,ativo,https://github.com/Netflix/genie,HEAD-on-master-2026-05-24,81f36f93b02fe47ee78493039fc1a8dd8c3154eb,2025-08-05,master,head-of-main,n30-v1.6
linkedin-dexmaker-04,dexmaker,LinkedIn,descentralizado,ativo,https://github.com/linkedin/dexmaker,HEAD-on-main-2026-05-24,ff8bb50e840e9d25858690f3d5b1c7cc48fb4c46,2026-04-27,main,head-of-main,n30-v1.6
linkedin-parseq-05,parseq,LinkedIn,descentralizado,ativo,https://github.com/linkedin/parseq,HEAD-on-master-2026-05-24,bbf8e7133b2c13aab08f1b08e03cba0fb37fb582,2025-07-28,master,head-of-main,n30-v1.6
uber-autodispose-06,AutoDispose,Uber,descentralizado,ativo,https://github.com/uber/AutoDispose,HEAD-on-main-2026-05-24,0c5b35e0154f4242f27ec2f65b5f1677187aea69,2026-05-14,main,head-of-main,n30-v1.6
uber-okbuck-07,okbuck,Uber,descentralizado,ativo,https://github.com/uber/okbuck,HEAD-on-master-2026-05-24,87682cd5c70f584f94afef0206780cfe4325002d,2026-03-28,master,head-of-main,n30-v1.6
apache-incubator-seata-18,incubator-seata,Apache,apache,ativo,https://github.com/apache/incubator-seata,HEAD-on-2.x-2026-05-24,f453b470964243e6c136677c62b4a4333fc40b17,2026-05-27,2.x,head-of-main,n30-v1.6
apache-shenyu-19,shenyu,Apache,apache,ativo,https://github.com/apache/shenyu,HEAD-on-master-2026-05-24,73a4a06811e3ed1325a7e1af91a2247b12ee2b8b,2026-05-16,master,head-of-main,n30-v1.6
google-java-docs-samples-16,java-docs-samples,Google,google,ativo,https://github.com/GoogleCloudPlatform/java-docs-samples,HEAD-on-main-2026-05-24,48c7d607c10f64270c88faf831af25676420899c,2026-05-26,main,head-of-main,n30-v1.6
google-flogger-17,flogger,Google,google,ativo,https://github.com/google/flogger,HEAD-on-master-2026-05-24,b5367138a5e29589596c56b895c8633fbef4e372,2026-05-01,master,head-of-main,n30-v1.6
google-j2cl-18,j2cl,Google,google,ativo,https://github.com/google/j2cl,HEAD-on-master-2026-05-24,a1d593a18677ffb744ccd68f99b325aecfda495b,2026-05-28,master,head-of-main,n30-v1.6
google-dataflow-templates-21,dataflow-templates,Google,google,ativo,https://github.com/GoogleCloudPlatform/DataflowTemplates,HEAD-on-main-2026-05-24,7424bd6c4c1603d88a80fc8343081d3c4e3f9a86,2026-05-27,main,head-of-main,n30-v1.6
netflix-priam-10,Priam,Netflix,descentralizado,ativo,https://github.com/Netflix/Priam,HEAD-on-4.x-2026-05-24,43f0d9726c21797d1111e2b43a02d5a3a978b120,2026-02-03,4.x,head-of-main,n30-v1.6
